name,url,description
Find assessments that best meet your needs.,https://www.shl.com/products/product-catalog/?start=12&type=2,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options  
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas. Mid-Professional, Professional Individual Contributor,"
Go Digital and Deliver a Superior Experience,https://www.shl.com/products/assessments/assessment-and-development-centers/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options  Speak With Our Team
SHL Personality Assessments,https://www.shl.com/products/assessments/personality-assessment/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options  Improve hiring with science-backed personality tests that reveal each candidate’s preferences, motivations, and remote-work capability."
SHL Occupational Personality Questionnaire (OPQ),https://www.shl.com/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options  Get accurate, Insightful assessments of potential by matching individual working preferences directly to business requirements."
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available. Front Line Manager, Manager, Supervisor,"
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts. Mid-Professional, Professional Individual Contributor,"
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate. Entry-Level,"
Business Skills Assessment Tests for Deep Insights,https://www.shl.com/products/assessments/skills-and-simulations/business-skills/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Skills & Simulations Speak With Our Team
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available. Entry-Level,"
Find assessments that best meet your needs.,https://www.shl.com/products/product-catalog/?start=24&type=1,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options  
SHL Motivational Questionnaire,https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options SHL Personality Assessments Speak With Our Team
World-Class Talent Assessments and Skill Tests,https://www.shl.com/products/assessments/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options  Evaluate candidate fit, readiness, and potential with an unmatched portfolio of personality tests, skills assessments, and job simulations."
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions. Entry-Level, General Population, Graduate,"
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Simulated data entry test that measures the ability to process payables and vendor invoices. Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available. Entry-Level,"
AI-powered Language Proficiency Tests,https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Skills & Simulations Speak With Our Team
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills. Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,"
Skills Assessments that Predict On-the-job Success,https://www.shl.com/products/assessments/job-focused-assessments/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Job-Focused Assessments Speak to Our Experts
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available. Entry-Level,"
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available. Mid-Professional,"
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.  Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available. Front Line Manager, Manager, Supervisor,"
Find assessments that best meet your needs.,https://www.shl.com/products/product-catalog/?start=132&type=2,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options  
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,"We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options Simulated data entry test that measures the ability to process receivables and invoices. Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
Find assessments that best meet your needs.,https://www.shl.com/products/product-catalog/?start=12&type=1,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options  
Situational Judgement Tests,https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/,We recommend upgrading to a modern browser. If you choose to continue with your current browser we cannot guarantee your experience. Latest browser options SHL Behavioral Assessments Speak With Our Team
